FIPS,State,Legislation or Bill(s),Collection of Video,Retention of Video,FOIA Exemptions,Related Dashcam FOIA Exemptions
US17,Illinois,"SB 1304 - passed by House and Senate, awaiting governor's signature","Cameras must be turned on when the officer is on duty and must be capable of recording for 10 hours or more; Cameras may be turned off when: (1) the officer is inside the patrol car, (2) a victim or witness requests the camera be turned off, (3) the officer is interacting with a confidential informant, (4) the officer is engaged in community caretaking functions","Recordings must be retained for 90 days; If the footage is flagged, it must be retained for two years. Footage is flagged when: (1) a complaint has been filed, (2) an officer discharged a firearm, (3) death or great bodily harm occurred, (4) the recording led to detention or arrest, (5) the officer is subject to an investigation, (6) the recording has evidentiary value, (7) the officer requests the video be flagged","FOIA disclosures must be redacted to remove identification of all who are not an officer, the subject of an encounter, or directly involved in an encounter",Covered by general FOIA exemptions
US18,Indiana,Two bills proposed in state legislature (HB 1225 and SB 454)  to create a study committee on public records requests for police videos. Neither proposal enacted,None,None,Investigatory records of law enforcement may be withheld under I.C. �5-14-3-4(b) of the Indiana Public Records Act; �Investigatory Records� means information compiled in the course of the investigation of a crime,Investigatory records of law enforcement may be withheld under I.C. �5-14-3-4(b) of the Indiana Public Records Act; �Investigatory Records� means information compiled in the course of the investigation of a crime
US19,Iowa,Two bills proposed in state legislature (HF 292 and HF 452),Both HF 292 and HF 452 would require poliec officers to wear body cameras at all times when on duty.  HF 452 would allow an officer to turn off the camera at the request of an informant or victim,"HF 292 would require all footage to be retained for two years; HF 452 would require all recordings to be retained for 30 days, but would extend this to 3 years if the recording (1) depicts an incident involving the use of force or the detention or arrest, (2) is relevant to a complaint, or (3) a person being recorded requests that the recording be retained","HF 292 would make camera recordings confidential only if they are part of an ongoing criminal investigation; HF 452 would allow allow disclosure only if each person who is part of the content of the recording gives written consent",Covered by General FOIA Exemptions
US20,Kansas,"One bill proposed in state legislature (HB 2137), proposal not enacted.One bill in Senate (Sub SB 18) modifying restrictions on disclosure of recordings","HB 2137 would require cameras to be turned on at all times when officer is on duty and must be continuously recording except for during personal breaks. Residents of houses officers enter under nonexigent circumstances may request the cameras be turned off","HB 2137 would require all recordings to be retained for two weeks. Recordings would be kept for three years for (1) incidents involving use of force, (2) incidents leading to detention or arrest, (3) if relevant to a complaint, or (4) if a subject of the recording requests that recording be retained","HB 2137 would exempt all recordings from the Kansas Open Records Act Sub SB 18: would allow only the subject of the recording to view footage ","Sub SB 18: would allow only the subject of the recording to view footage"
US21,Kentucky,State Archives and Records Commission established a retention schedule for camera recordings,None,"Non-evidentiary recordings are retained for 30 days. Recordings of DUI-related incidents must be retained for 14 months, but if an accident is recorded, they are retained for 26 months",Covered by General FOIA Exemptions,Covered by General FOIA Exemptions
US22,Louisiana,One bill proposed in state legislature (HB 183)  to create a committee to produce study and recommendations on police body camera policies,HB 183 would require the Committee  to issue procedures on collection,HB 183 would require the Committee to issue procedures on retention,HB 183 would require the Committee to issue procedures on release of recordings,None
US23,Maine,No statute or proposal relevant to body cameras at the state level,None,None,Body camera recordings are not considered public records under Maine's Freedom of Access Act,Dashcam recordings are not considered public records under Maine's Freedom of Access Act
US24,Maryland,"HB 533 signed into law on May 12, 2015. Codified in MD. CODE ANN. PUB. SAFETY 3-510 (West 2015) and wiretapping exception codified in MD. CODE ANN. CTS & JUD. PROC. 10-402 c(11) (West 2015).","Requires Police Training Commission to create policies on when recordings are mandatory, prohibited, or discretionary, when consent is required for recording, and when a recording may be ended",Requires Police Training Commission to create policy on how recordings will be retained,"Requires Police Training Commission to create policy on access to recordings, release of recordings, and protections for individuals who have expectation of privacy in private or public places",Covered by General FOIA Exemptions
US25,Massachusetts,One bill in state legislature (H 2170). Proposal has not been enacted.,"H 2170 provides extensive list of situations where cameras must be recording, though it gives officers discretion not to record in certain instances (e.g. sexual assault) and states that officer should issue notification that the camera is recording", H 2170 would require recordings to be deleted within 30 days if no enforcement action is taken or no complaint is filed,"H 2170 would exempt all recordings from public disclosure  absent a court order. Subjects of recordings would be allowed to inspect and copy such recordings, however",Covered by General FOIA Exemptions
US26,Michigan,Two bills proposed in state legislature (HB 4229 and HB 4234). Neither proposal has been enacted.,"HB 4229 would require all uniformed officers to use body cameras while on duty, but residents of houses officers enter under nonexigent circumstances may request the cameras be turned off","HB 4229 would require that all recordings be retained for two weeks, and for 3 years if  (1) footage contains incidents involving the use of force, (2) footage contains incidents leading to detention or arrest, (3) footage is relevant to a complaint, (4) the subject of the recording makes a request. HB 4234 would require all recordings be retained for 30 days, and for 3 years if (1) relevant to a complaint, (2) the subject of the recording makes a request.","HB 4234 would exempt video recordings taken inside private places  from Michigan FOIA requests.",Covered by General FOIA Exemptions
US27,Minnesota,Two bills proposed in state legislature (HF 2100 and SF 498). Neither proposal enacted. ,"HF 2100 would create a task force on body cameras and enact a moratorium on use of body cameras until the task force issues policies; SF 498 would require agencies that use body cameras to establish procedures for use and operation of cameras","SF 498 would require body camera videos to be kept for at least 90 days or one year depending on the videos' contents.",Covered by General FOIA Exemptions,None
US28,Mississippi,"One bill proposed in state legislature (HB 1279), but not enacted.","HB 1279 would require uniformed officers primarily assigned to patrol to wear body cameras. Officers could stop recording during encounters with other officers, encounters with confidential informants, strip searches, when on a break, or in any location the officer has a reasonable expectation of privacy.  Residents of houses officers enter under nonexigent circumstances may request the cameras be turned off","HB 1279 would require all recordings to be retained for 120 days, or for 3 years if the recording involved (1) an incident involving the use of force, detention, or arrest, (2) the recording is relevant to a complaint, (3) a request regarding the recording has been filed, (4) a subject of the recording requests the recording be retained, (5) a third party requests retention, when there is some basis to believe police misconduct ocurred or there is reasonable suspicion the record contains evidence of a crime.","HB 1279 would allow the subject of a person to request a copy of an unredacted recording, but uredacted recordings would not generally be publicly disclosed without the subject's consent",Covered by General FOIA Exemptions
US29,Missouri,"Several bills proposed in state legislature, but none enacted. ","HB 762; SBs 331 & 21; HB 987; SB 550 would not require police to wear body cameras. HB 762; SB 550 would not require dashboard cameras to be used. HB 1699; HB 971; HB 75; HB 76; HB 39; SB 356 would require on-duty police to wear body cameras subject to certain exceptions. HB 39 would require the use of dashboard cameras on all police vehicles used for traffic stops.","HB 987; SBs 331 & 21; HB 39 would require retention of body and dashboard camera videos for at least 30 days. HB 987; SBs 331 & 21 would require destruction of body and dashboard camera videos after 90 days unless they are needed for an ongoing investigation. HB 1699; HB 971; HB 75; HB 76 would require retention of body camera video for at least 30 days. SB 356 would require retention of body camera video for at least two years."," HB 762; SB 550; HB 987; HB 39 would prevent disclosure of body camera video with certain exceptions. SBs 331 & 21 would prevent disclosure of body camera video if the video is involved in an ongoing investigation. SB 356 would make body camera video open records for the purposes of state law.","HB 762, SB 550, HB 987, and HB 39 would prevent disclosure of dashboard body camera videos with certain exceptions SB 331 and SB 21 would prevent disclosure of dashboard camera videos if the videos were involved in an ongoing investigation"
US30,Montana,"One bill proposed in state legislature (HJ Resolution 22), but not enacted. Bill would have directed a committee to study body cameras. ",None,None,Covered by General FOIA Exemptions,Covered by General FOIA Exemptions
US31,Nebraska,"No statute, but LR 261 is an interim study being conducted by the judiciary committee to examine implementation of body cameras.",None,None,"Neb. Rev. Stat. � 84-712.05(5) provides that body camera footage may be withheld from the public if it constitutes a part of the examination, investigation, intelligence information, citizen complaints or inquiries, informant identification, or strategic or tactical information used in law enforcement training","Neb. Rev. Stat. � 84-712.05(5) provides that dashboard camera footage may be withheld from the public if it constitutes a part of the examination, investigation, intelligence information, citizen complaints or inquiries, informant identification, or strategic or tactical information used in law enforcement training"
US32,Nevada,"AB 162 permits body camera use. Enacted on May 25, 2015; becomes effective January 1, 2016. SB 111 would require body camera use. Passed and sent for enrollment on June 1, 2015.","AB 162 allows, but does not require, police to use body cameras.  If using body cameras, police must develop policies and procedures for their use SB 111 would require all police who routinely interact with the public to wear a body camera while on duty.  Police would be required to develop policies and procedures for the use of body cameras ","AB 162 leaves the details of retention up to the police SB 111 would require the police retain body camera video for at least 15 days"," AB 162; SB 111 specify that body camera recordings are public records, but can only be requested on a per incident basis.  If the videos contain confidential information that cannot be redacted, the video will only be available where the record is held",Covered by General FOIA Exemptions
US33,New Hampshire,"Two bill proposed in state legislature (HB 583 and HB 617) that would require body camera use.  Both were pending in committee as of February 6, 2015 and did not advance.","HB 583 and HB 617 would require police to wear body cameras whenever interacting with the public. HB 583 specified that the director of the state police to have a written policy covering the proper use and activation times of body cameras. HB 617 would require  police to activate body cameras at the start of any police service contact with citizens.","HB 583 would require the director of state police to have a written policy that outlines the retention period for body camera video. HB 617  would require body camera video to be erased every 14 days unless being used as evidence in a case or investigation","Covered by General FOIA Exemptions. HB 617 would exempt body camera video from the state right-to-know law, however.",Covered by General FOIA Exemptions
US34,New Jersey,"AB 2280 requires dashboard camera use.  Enacted; adds section to N.J.S.A. 40A:14-118. SB 2649 establishes a task force to study and make recommendations about the use of body cameras by police. Enacted.; One bill proposed in state legislature (AR 197) that would urge the National Congress to enact legislation requiring police to be equipped with body cameras","AB 2280 (N.J.S.A. 40A:14-118) requires every new or used police vehicle, primarily used for traffic stops, acquired after February 28, 2015, to have a dashboard or body camera.",None,"Covered by General FOIA Exemptions. Ganzweig v. Township of Lakewood held that if police require the regular recording of police activities, the videos are subject to the state Open Public Records Act","Covered by General FOIA Exemptions. Ganzweig v. Township of Lakewood held that if police require the regular recording of police activities, the videos are subject to the state Open Public Records Act"
US35,New Mexico,"No statute or proposal specific to body cameras at the state level. HB 363 introduced on January 28, 2015 and postponed indefinitely; would eliminate police immunity for various harms caused by police who failed to use a body camera properly. ",None,None,"Covered by General FOIA Exemptions ","Covered by General FOIA Exemptions "
US36,New York,"Three bills proposed in state legislature (AB 1684, AB 7682, and AB 4509). None have passed.","AB 1684 would require any city having a population of one million or more to institute a 4-year pilot program requiring at least 20% of on-duty police to use of body cameras and keep them active during any interaction with a civilian AB 4509 would require activation of any dashboard cameras on a police vehicle upon a stop to interact with the public",None,"Covered by General FOIA Exemptions AB 7682  would explicitly make body camera videos subject to state public records law. Exemptions, including the below, would still apply: NY Public Officers Law �� 86; 87 Body camera videos are likely subject to state public records law. Exemption exists if disclosure of the body camera video would interfere with police investigations or judicial proceedings, deprive a person of a right to a fair trial, identify a confidential source or disclose confidential information relating to a criminal investigation, or reveal non-routine criminal investigative techniques or procedures.","Covered by General FOIA Exemptions AB 7682 would explicitly make dashboard camera videos subject to state public records law. Exemptions, including the above, would still apply: NY Public Officers Law �� 86; 87 Dashboard camera videos are likely subject to state public records law. Exemption exists if disclosure of the dashboard camera video would interfere with police investigations or judicial proceedings, deprive a person of a right to a fair trial, identify a confidential source or disclose confidential information relating to a criminal investigation, or reveal non-routine criminal investigative techniques or procedures. "
US37,North Carolina,"Four bills proposed in state legislature (H395, H537, H713, H811). H395 and H537 did not pass either house, while H713 and H811 passed the House and are pending in the Senate.",H395 and H537 would require on-duty police to wear body cameras and have them active except in specific circumstances.,"H395  would require body camera videos to be kept at least 60 days or longer under certain circumstances. H537 would require body camera videos to be kept for a ""reasonable"" period of time, as determined by the police.","Covered by General FOIA Exemptions H395 would permit police to disclose body camera video upon written request. If the video is not provided or is redacted, the police must provide a written explanation. H713 would permit, but not require, police to disclose body camera videos.","Covered by General FOIA Exemptions H395 would permit police to disclose body camera video upon written request. If the video is not provided or is redacted, the police must provide a written explanation. H713 would permit, but not require, police to disclose body camera videos."
US38,North Dakota,N.D. Cent. Code � 44-04-18.7 (2015) deals with the FOIA treatment of body camera videos.,None,None,"N.D. Cent. Code � 44-04-18.7 (2015) provides a specific exemption if footage is ""taken in a private place.""","Covered by General FOIA Exemptions "
US39,Ohio,None,None,None,"Covered by General FOIA Exemptions "," Covered by General FOIA Exemptions. Often withheld under ""law enforcement investigatory records"" exemption."
US40,Oklahoma,"Okla. Stat. tit. 51, � 24a.1 et seq., as amended by HB 1037 (2015)","None required, but if agency does collect video, the following categories are subject to public inspection: (1) use of force by officer; (2) pursuits; (3) traffic stops; (4) arrests; (5) investigative detentions; (6) any act that deprives someone of liberty; (7) any act that causes officer to be investigated; (8) recordings ""in the public interest""; (9) contextual events before any of the above.",None,"Recordings that depict the following are exempt from disclosure: (1) death or serious injury, unless caused by officer; (2) nudity; (3) minors under the age of 16; (4) detention for mental health or drug treatment purposes; (5) personal information; (6) identity of sex crime or domestic violence victim; (7) confidential (and some other) informants; (8) identity of officer during pending investigation; (9) information that would compromise an ongoing criminal investigation, subject to certain time limits","Recordings that depict the following are exempt from disclosure: (1) death or serious injury, unless caused by officer; (2) nudity; (3) minors under the age of 16; (4) detention for mental health or drug treatment purposes; (5) personal information; (6) identity of sex crime or domestic violence victim; (7) confidential (and some other) informants; (8) identity of officer during pending investigation"
US41,Oregon,"Each house has passed a version of HB 2571, though the bill is still pending",HB 2571 requires continuous recording from commencement of probable cause or reasonable suspicion until completion of law enforcement action,HB 2571 requires retention for a minimum 180 days and a maximum of 30 months unless related to court proceeding,"HB 2571 exempts body camera recordings unless ""public interest"" requires disclosure. If footage is released, all faces must be obscured","Covered by General FOIA Exemptions "
US42,Pennsylvania,One bill proposed in state legislature (HB 420) that would require body camera use.  Neither house has taken action on the bill,HB 420 would require recording of all events that occur while on duty.,None,"Covered by General FOIA Exemptions ","Covered by General FOIA Exemptions "
US44,Rhode Island,Two bills proposed in state legislature (HB 5819 and SB 269) relating to dashcam footage. No bill has passed,None,None,"Covered by General FOIA Exemptions ","HB 5819 and SB 269 would require collection of dashcam footage, but exempt it from disclosure."
US45,South Carolina,S.C. Code Ann. � 23-1-240,"Requires police to use bodycams, with collection subject to policies to be drafted by state Law Enforcement Training Council",Policy to be developed by state Law Enforcement Training Council,Blanket exemption for bodycam footage: the only persons who are entitled to view footage are those depicted in video or subject to legal action connected to recorded event,"Covered by General FOIA Exemptions "
US46,South Dakota,None,None,None,"Covered by General FOIA Exemptions ","Covered by General FOIA Exemptions "
US47,Tennessee,Two bills proposed in state legislature (SB 0868 and HB 0712) were introduced in February 2015 but have not passed,SB 0868 and HB 0712 would require officers to record all activites while on duty.,SB 0868 and HB 0712 would require footage to be retained for a minimum of 7 days. Recordings could not be destroyed if they contained evidence relevant to investigation of crime or complaint against officer,"SB 0868 and HB 0712 would not allow duplication of recordings if they contained evidence of a crime until final disposition of the charges. Otherwise, the recordings would be treated the same as any other law enforcement record","Covered by General FOIA Exemptions "
US48,Texas,SB 158 (2015) passed both houses; waiting on action from governor,"Would require bodycam, if worn, to be actived only for ""law enforcement purpose""; officer must explain reason if camera is de-activated during call for assistance, but may freely de-activate for ""non-confrontational"" encounter; local jurisdictions must develop additional policies  consistent with legislation","Minimum 90 days; if recorded event gives rise to criminal or administrative investigation, must be kept until resolution of proceeding","Exempt if related to criminal or administrative investigation until close of proceedings (may be released if agency believes release furthers law enforcement purpose); any recording made in ""private space"" is also exempt","None, with special provisions if dashcam footage is related to a racial profiling complaint"
US49,Utah,"One bill proposed in state legislature (HB 386) would have required body camera use, but it did not pass ","HB 386 would have required officers to record all ""law enforcement encounters,"" including (1) stops; (2) dispatched responses; (3) interrogations and interviews; (4) uses of force; (5) pursuits; and (6) executions of warrants. Local agencies could implement additional policies that meet statewide minimum",HB 386 would have required retention for a minimum 30 days and a maximum of 180 days,"HB 386 would have exempted body camera footage in two scenarios: (1) where a reasonable expectation of privacy existed and the footage did not constitute a ""recording of interest"" or (2) recording contained images that could be used to identify an individual and the recording is neither relevant as evidence nor a recording of interest","Covered by General FOIA Exemptions "
US50,Vermont,"One bill proposed in state legislature (H.279 would have required body camera use, but it did not pass ","H.279 would require recording of any interaction with a person the officer has reasonable suspicion to believe is committing a crime or violation. Recordings should include pursuit, apprehension, questioning and arrest or citation. The person of interest would have to be informed that he is being recorded. Dash camera videos would be required to be turned on when police blue lights are in operation",None,"H.279 would make videos of initial arrests public. Otherwise, records dealing with ""detection and investigation of a crime"" would be exempted to the extent that disclosure (1) could interfere with enforcement; (2) would deprive person of a fair trial; (3) could constitute an unwarranted invasion of privacy; (4) could ID a CI; (5) would disclose techniques/procedures of investigations; or (6) could reasonably be expected to endanger someone's physical safety",Covered by standard FOIA exemptions
US51,Virginia,"Three bills proposed in state legislature (HB 1521, HB 1534, and HB 2280) would have addressed body camera use, but none passed","HB 1534 would require State Police to use body cameras, and HB 1521 would require police forces with more than 100 officers  to use body cameras. HB 2280, by contrast, would not allow police forces to use body cameras without first establishing a written policy for their use that conforms to a model policy to be issued by State Dept. of Criminal Justice Services (DCJS)","HB 1521 would delegate retention authority to DCJS HB 1534 would require state police to transfer all recordings to the State Attorney General every 24 hours, who would then retain recordings for 30 days. HB 2280 would require all recordings to be destroyed within seven days, unless they (1) were relevant to an active criminal investigation, (2) depicted the use of force by the camera wearer or (3) depicted conduct by the wearer that is subject to a complaint.","HB 1521 would delegate retention authority to DCJS. HB 1534 would prohibit disclosure of all recordings unless pursuant to court order or upon request of (1) a person alleging he has been the subject of unlawful officer conduct, (2) an officer alleged to have engaged in unlawful conduct or (3) the officer's employer. Unlawful dissemination of recordings would be a felony. HB 2280 would make all recordings  public unless related to an active criminal investigation, but only if recorded individuals consented or their images were redacted","VA's FOIA has an exemption for records used in criminal investigations, including dashcam videos. They are not subject to the Act, but may be disclosed at the discretion of the records custodian."
US53,Washington,"Three bills proposed in state legislature (SB 5732, HB 1910, HB 1917) would have addressed body camera use, but none passed",SB 5732 would require cameras  to be operated continuously while an officer is on duty,"SB 5732 would retain ""unflagged"" recordings for 60-75 days and ""flagged"" recordings for three years or durin any investigation. Recordings would be  ""flagged"" when (1) related to and incident involving the use of force or for which a formal/informal complaint is registered, (2) requested by the recording subject, (3) requested by any person, as long as the recording was not made inside a private residence and the requester presents specific fact to support a reasonable belief that law enforcement misconduct occurred during the incident related to the recording. HB 1917 would require recordings to be retained for as long as any crime may be charged based on the events, communications, or conversations recorded",None,"RCW 46.35, while not specifically referencing police dashcams, provides that recordings made in a motor vehicle may not be accessed by a person other than the vehicle's owner, except pursuant to a court order or discovery request, and even then the information is private and confidential"
US54,West Virginia,None,None,None,None,None
US55,Wisconsin,None,None,None,"Madison County police have indicated that, since they have voluntarily opted to implement police body cams, requests for recordings made by those cameras will be treated the same way requests for any MPD records are treated.",None
US56,Wyoming,None,None,None,None,None
